id,username,password,role,url_file,psnr,created_at
1,Jungkook,12345,Idol,,,
2,Seokjin,12345,Idol,,,
3,YG,12345,Agensi,,,
4,Lisa,12345,Idol,DATASET\Idol\Lisa\517327116f427727fb4f4c4f99d52937_stego.png,93.61,2025-05-12 16:22:15
5,HYBE,12345,Agensi,,,
8,Lisa,12345,Idol,DATASET\Idol\Lisa\a56e30da798b1e054b92ed02a7959c10_stegoDCT.png,35.53,2025-05-12 17:20:55
9,Lisa,12345,Idol,DATASET\Idol\Lisa\77d328ff8e160d34827f7c47dbab03b0_stegoDCT.png,33.15,2025-05-12 17:33:13
11,Lisa,12345,Idol,DATASET\Idol\Lisa\6693d344f7a12927134f7c44224a7bc4_stegoDCT.png,39.97,2025-05-12 17:43:58
12,Lisa,12345,Idol,DATASET\Idol\Lisa\a5f0a981e8349ed6eb7e8ef86e645a90_stegoDCT.png,41.83,2025-05-12 17:46:13
13,Lisa,12345,Idol,DATASET\Idol\Lisa\517327116f427727fb4f4c4f99d52937_stegoDCT.png,34.98,2025-05-12 17:49:44
14,Lisa,12345,Idol,DATASET\Idol\Lisa\01c1ab4262b9146724643b4e966028a1_stego.png,47.38,2025-05-27 09:17:40
